Invention,Description,Background,Category
Measurement-Based Quantum Computing as a Tangram Puzzle,"This invention is a game developed to teach Measurement-Based Quantum Computing (MBQC) to a wide audience ranging from high school students to quantum computing researchers via a Tangram puzzle with a modified set of rules played on an applet. The rules are stated in simple terms with no reference to quantum computing. Players must place polyominos on the playing board conforming to the rules. Any correct solution creates a valid realization of the quantum circuit in MBQC. A higher-scoring correct solution fills up less space on the board, creating a challenging and engaging research problem.","Measurement-Based Quantum Computing (MBQC), proposed in 2001, is a model of quantum computing that achieves quantum computation by performing a series of adaptive single-qubit measurements on an entangled cluster state. Quantum mechanics is colloquially recognized as a highly technical and complex field of study; this game is a fun and engaging tool to help simplify understanding.",Engineering & Physical Sciences
Virtual Ore Microscopy: An Interactive Cloud Application to Learn Optical Properties of Ore Minerals,"This is a software application designed to provide an interactive virtual petrographic microscope that will allow users to study ore minerals and their microscopic features. This app digitizes polished thin sections of ore using both transmitted and reflected light allowing the user to explore alteration minerals associated with the ore. The app helps users understand the optical properties of various ore and alteration minerals formed in ore deposits without the need to have access to petrographic microscopes. The cloud-based database of ore samples also includes information about its geographical location, mineral information, and bibliography, with the ability to create favorite lists and share through different media.","This app cuts down on costs associated with expensive and inaccessible microscopes by providing an intuitive surface to learn and analyze ore minerals through a cloud database. By leveraging the power of cloud computing and high-definition imaging, the software eliminates the geographical and financial barriers that often restrict individuals and institutions from accessing quality microscopy equipment. This democratization of learning resources promises to propel the field forward by creating a more inclusive educational environment.",Imaging & Optics
Core Administrative Program Suite,"This technology comprises a comprehensive set of user-friendly business tools designed to enhance and streamline Core Facilities operations. It includes features like managing purchasing requests, reconciling procurement cards (p-cards), and controlling inventory. These tools are specifically tailored to meet the needs of Core Facilities, providing efficient solutions for smoother processes.","Currently, effective management of administrative and financial business tasks, such as purchase requests, p-card reconciliation, and inventory control can be cumbersome and prone to errors when handled manually or through disparate systems. Many facilities divisions resort to using a combination of spreadsheets, emails, and separate software tools to manage these processes. However, this approach often leads to inefficiencies, data discrepancies, and delays in decision-making.

This new suite of business tools offers a centralized platform that consolidates and automates these critical functions, minimizing manual intervention and reducing the risk of errors. Unlike the current solutions, which are often fragmented and lack integration, this technology provides a holistic approach to streamline workflows, improve data accuracy, and enhance collaboration among Core Facilities teams. By providing tailored features for Core Facilities operations, it addresses the specific needs of these environments and eliminates the need for juggling multiple tools and systems.",Software & Information Technology
Advanced Fire Weather Analysis and Decision Making Dashboard,"This technology is a dashboard that has the capability of gathering data from multiple independent forest service data sources to aid in the identification and prediction of potential fire weather, as well as the impact of weather on fire events. Moreover, the dashboard incorporates advanced machine learning algorithms for dynamic and predictive modeling, integrating streamlined data science methods, optimized aggregation, and visualization techniques, along with new fire weather forecast products. These features enable it to adapt to continually changing forest conditions and to provide proactive solutions for potential wildfire threats.","Wildfire management presents complex challenges as a result of climate change and shifting weather patterns, which impact fuel and ignition sources. The proposed fire information portal aims to address them by leveraging abundant data for better fire risk management, decision support, and planning. By blending the use of modern data science techniques with more traditional knowledge of fire ecology and meteorology, this technology seeks to bridge the gap between science, decision-making, and on-the-ground firefighting efforts, thereby improving the ability to anticipate and mitigate the risks posed by wildfires.",Software & Information Technology
Identity Verification using Answering Correctness and Behavior for Geo-Location Entities (Roads and Points of Interest) Relevant to a User's Primary Address,"The Geographical Knowledge Based Verification (GeoKBA) System is an advanced multifactor verification service integrating a geographical component with digital behavioral biometrics to verify user identities in web-based interfaces. Conventional multifactor authentication (MFA) consists of “something you know” (e.g., a password) and “something you have” (e.g., a cell phone that receives a temporary code) to greatly enhance verification accuracy. GeoKBA extends this model, employing “something you know” and “something you do” by simultaneously testing users on two factors relative to their familiarity with specific geographic locations (i.e., geo-targets), assessing responses in terms of objective accuracy as well as behavioral patterns exhibited while providing those responses. The GeoKBA approach greatly increases accuracy and security over single factor approaches and presents and collects these dual factors in a single process for a better user experience. Unlike existing KBA methods, the GeoKBA approach will work with first touch users (e.g., account opening) or repeat users (e.g., password reset). The evolving landscape of cyber threats necessitates innovations like GeoKBA, which not only act as an additional protective layer but also anticipate and counter newer hacking methods by rooting identity verification in the real-world attribute of geographical location.","The alarming rate of hacking incidents and the sophisticated techniques employed by cybercriminals underscore the pressing need for reinforced identity verification methods to protect internet users as they exchange and store sensitive personal information and financial data. By leveraging geographical data, which is inherently difficult for hackers to replicate or misuse, GeoKBA addresses one of the core vulnerabilities in conventional verification methods. This combination of “knowing” and “doing” ensures a multi-dimensional authentication process. As online interfaces evolve and the demand for secure transactions grows, technologies like GeoKBA become indispensable in maintaining the integrity and security of digital transactions. ​​​​​​​",Software & Information Technology
Equanimity - Dynamic Physiology,This invention consists of a software package in combination with state-of-the-art hardware that is capable of continuously monitoring stress-related Heart Rate Variability (HRV). The software can recognize when HRV goes below a specified threshold and will prompt a yoga breathing exercise to increase HRV to healthier levels. The technology has the potential to provide a physiological marker and remedy for psychological stress for users.,"Heart Rate Variability (HRV) is the measure of the variation in time between each heartbeat and is considered an index of vagal control of the heart that is a marker for physical and mental health. This variation is controlled by a primitive part of the nervous system called the autonomic nervous system (ANS) (<a href=""https://www.health.harvard.edu/blog/heart-rate-variability-new-way-track-well-2017112212789"" target=""_blank"">Harvard</a>). 

HRV has been a topic with growing interest in both the e-health and fitness communities due to its straightforward measurement and potential insights it offers. Nonetheless, HRV measurements, which reflect the influence of both physical activity and psychological stress on heart function, currently lack the ability to distinguish between these two factors. As a result, current measures of HRV provide a weak marker of psychological stress.",Software & Information Technology
Clinical Decision Support for HIT Diagnoses,"This invention describes a method for ensuring the appropriate evaluation and diagnosis of heparin-induced thrombocytopenia (HIT). This method involves a novel scoring system for HIT based on drug administration and platelet counts over time, along with recommendations for proper treatment of HIT’s side effects.","Heparin-induced thrombocytopenia (HIT) occurs in 0.5% to 1% of patients exposed to unfractionated heparin for medical and surgical indications. Traditional methods of diagnosis and treatment include platelet count versus time graphs and 4Ts score calculators which determine the need for immunoassay order for treatment. Appropriate evaluation of HIT is imperative because of potentially life-threatening complications; however, over-testing and overdiagnosis of HIT are common. This clinical decision support (CDS) system can ultimately help guide diagnostic decisions to ultimately reduce unnecessary HIT testing and misdiagnosis.",Software & Information Technology
Quantum Natural Language Processing Based AI Model,"This is a new model in artificial intelligence based on a very new technology called Quantum Natural Language Processing, which merges two major disciplines, AI/Computer Science and Physics. The AI model does natural language processing on quantum computers with weights initialized from the embeddings used in Large Language Models like GPT4, then adds up words using quantum entanglement.","While natural language processing has evolved significantly in the last several years, issues still remain in language differences, training data, complexities in language and semantic meaning, innate bias, and development challenges. Light weight AI models can train on very few data points and still get accuracy at par or higher than that of large language models. By applying AI and quantum entanglement processes to natural language processing, this has the potential to be a fundamental paradigm shift in AI.",Engineering & Physical Sciences
Artificially Intelligent Medical History Evaluation Instrument (AIMHEI),"The Artificially Intelligent Medical History Evaluation Instrument (AIMHEI) is an innovative system designed to enhance and optimize medical history interviews conducted by healthcare practitioners (HCPs). Utilizing advanced natural language processing, AIMHEI employs proprietary algorithmic modules and rubrics to meticulously analyze voice-to-text transcriptions of interactions between HCPs and patients. With over 36,000 operations for every 100 lines of text, AIMHEI evaluates interviews across sixteen major areas, including format, identification of details, and communication quality. The instrument assesses elements like politeness, empathy, and the use of technical terminology, ensuring accessibility for the average layperson. AIMHEI adheres to strict performance guidelines from authoritative bodies such as the American College of Surgeons, World Health Organization, Liaison Committee on Medical Education, and the principles outlined in Bates' Guide to Physical Examination and History Taking, providing a comprehensive and standardized evaluation tool for medical professionals.","The Artificially Intelligent Medical History Evaluation Instrument (AIMHEI) aims to address the challenges associated with the subjective and potentially inconsistent nature of medical history interviews conducted by healthcare practitioners (HCPs). Traditional methods rely heavily on the expertise and judgment of individual practitioners, leading to variations in the quality and comprehensiveness of patient interviews. Existing solutions often lack standardized evaluation criteria, making it challenging to ensure uniformity and adherence to best practices across different healthcare settings. AIMHEI stands out by leveraging advanced natural language processing and proprietary algorithms to conduct a meticulous analysis of voice-to-text transcriptions, evaluating interviews across multiple dimensions. AIMHEI offers a systematic and standardized approach, providing detailed feedback on elements like communication style, empathy, and use of technical language to enhance the overall quality and consistency of medical history interviews. By adhering to stringent guidelines from authoritative bodies and incorporating a comprehensive evaluation framework, AIMHEI addresses the limitations of current technologies, offering a more objective and reliable tool for healthcare practitioners.",Healthcare Portfolios
Diagnostic Tool for Identifying Delirium using Electronic Medical Records,"Neurologic, Orientation and Verbal Assessment of Delirium (NOVAD) is a smart-EMR screening tool designed to detect delirium in hospitalized adults. NOVAD leverages assessments that nurses are already familiar with to provide an early warning system for delirium detection, empowering healthcare professionals with actionable insights, leading to timely interventions and improved patient outcomes. With NOVAD, healthcare facilities can mitigate the risks associated with undetected delirium, such as increased morbidity and mortality rates, prolonged hospital stays, and higher healthcare costs. By seamlessly integrating into existing workflows, NOVAD offers a user-friendly solution without any additional testing and uses current EMR workflows to act as a warning system for delirium detection.","Delirium, often underdiagnosed or detected late, poses significant risks to patient health and outcomes. Current solutions rely heavily on manual assessments, which can be subjective, time-consuming, and prone to human error. Additionally, existing technologies lack seamless integration into clinical workflows, hindering efficient delirium screening and intervention. In contrast, NOVAD offers a transformative approach by leveraging smart-EMR technology to streamline delirium screening. By utilizing assessments already performed by nurses, NOVAD seamlessly integrates into existing workflows, enhancing efficiency and accuracy. Its early warning system functionality enables prompt detection of delirium, empowering healthcare professionals to initiate timely interventions. Through its user-friendly interface and proactive approach, NOVAD sets a new standard in delirium management, addressing the shortcomings of current technologies and ensuring optimal patient care.",Software & Information Technology
